CardId,CardDate,TicketPrice,VenueID
401,2024-08-09,357.5,297
402,2024-01-30,347.56,104
403,2024-12-20,369.82,1
404,2024-08-03,390.2,78
405,2024-08-02,105.33,241
406,2024-01-22,283.07,134
407,2024-12-09,340.34,195
408,2024-05-10,155.76,387
409,2024-03-16,125.02,4
410,2024-08-09,495.47,62
411,2024-10-27,190.57,33
412,2024-01-14,273.28,124
413,2024-10-17,150.65,92
414,2024-04-12,235.34,327
415,2024-07-10,418.64,239
416,2024-03-04,153.1,70
417,2024-06-23,476.95,377
418,2024-04-08,79.2,208
419,2024-08-06,195.48,175
420,2024-10-16,357.78,381
421,2024-10-09,130.34,381
422,2024-05-08,402.85,245
423,2024-07-25,417.31,24
424,2024-01-02,231.68,246
425,2024-09-23,219.42,61
426,2024-08-31,234.65,325
427,2024-04-14,228.34,110
428,2024-11-11,329.87,16
429,2024-01-18,67.7,283
430,2024-03-23,402.62,249
431,2024-10-07,158.02,201
432,2024-03-20,245.81,169
433,2024-02-24,479.76,389
434,2024-05-22,216.13,261
435,2024-05-16,97.92,142
436,2024-06-13,225.89,253
437,2024-02-04,302.75,3
438,2024-06-08,176.71,163
439,2024-08-27,169.9,25
440,2024-11-30,421.64,53
441,2024-06-02,247.86,142
442,2024-04-25,372.94,343
443,2024-06-08,109.66,119
444,2024-10-28,92.91,394
445,2024-06-19,434.85,237
446,2024-05-03,366.75,231
447,2024-11-23,461.67,201
448,2024-07-18,452.8,331
449,2024-04-29,149.26,50
450,2024-11-17,455.86,163
451,2024-11-02,112.49,32
452,2024-09-05,456.24,242
453,2024-08-10,492.93,182
454,2024-08-02,242.27,173
455,2024-03-08,252.04,190
456,2024-07-04,316.54,262
457,2024-08-17,476.41,89
458,2024-07-04,406.19,227
459,2024-01-04,204.18,105
460,2024-03-13,223.12,11
461,2024-06-02,458.96,326
462,2024-04-30,344.87,332
463,2024-12-24,469.77,279
464,2024-02-27,255.83,11
465,2024-07-30,104.29,24
466,2024-04-02,424.11,131
467,2024-10-07,218.1,24
468,2024-06-03,364.64,136
469,2024-12-03,473.52,258
470,2024-06-26,485.93,58
471,2024-09-08,306.72,282
472,2024-12-04,450.05,213
473,2024-04-02,378.14,53
474,2024-03-30,75.08,166
475,2024-01-23,262.42,299
476,2024-04-10,83.44,61
477,2024-04-21,420.35,111
478,2024-11-13,455.12,395
479,2024-04-06,391.17,55
480,2024-06-29,57.03,274
481,2024-02-03,52.6,154
482,2024-08-04,277.52,331
483,2024-05-11,418.06,275
484,2024-09-28,355.77,62
485,2024-07-21,272.41,61
486,2024-06-27,412.58,206
487,2024-10-08,285.76,99
488,2024-06-04,330.6,248
489,2024-07-21,321.43,104
490,2024-07-21,142.41,123
491,2024-03-21,496.95,199
492,2024-02-21,54.01,355
493,2024-10-22,299.12,265
494,2024-10-26,379.79,346
495,2024-03-30,273.17,41
496,2024-04-10,210.61,178
497,2024-05-17,409.72,308
498,2024-09-07,263.9,186
499,2024-06-15,98.64,266
500,2024-02-25,454.14,368
