CardId,CardDate,Price,VenueID
1,3/4/2025,2.99,297
2,2/11/2025,49.99,173
3,2/25/2025,3.29,215
4,5/7/2024,29.99,230
5,3/1/2025,6.99,318
6,9/7/2024,4.19,350
7,1/17/2025,2.29,395
8,9/5/2024,29.99,137
9,5/28/2024,3.79,366
10,9/10/2024,249.99,47
11,9/16/2024,14.99,353
12,11/18/2024,39.99,233
13,12/7/2024,9.99,337
14,11/7/2024,3.99,344
15,7/6/2024,79.99,1
16,8/1/2024,69.99,307
17,1/17/2025,4.99,321
18,8/10/2024,25,210
19,3/7/2025,5.99,298
20,9/21/2024,39.99,197
21,5/22/2024,24.99,26
22,2/2/2025,79.99,388
23,3/22/2025,7.99,127
24,8/28/2024,5.99,290
25,3/10/2025,39.99,373
26,2/23/2025,49.99,284
27,5/30/2024,2.79,243
28,10/23/2024,89.99,198
29,4/29/2024,6.49,383
30,2/18/2025,39.99,193
31,9/9/2024,4.49,373
32,6/20/2024,29.99,46
33,8/27/2024,15.99,7
34,7/19/2024,2.99,268
35,12/2/2024,2.29,65
36,1/7/2025,3.99,121
37,4/30/2024,4.89,144
38,6/5/2024,5.99,244
39,6/28/2024,14.99,126
40,11/16/2024,199.99,165
41,7/20/2024,34.99,234
42,6/2/2024,29.99,301
43,10/13/2024,15.99,73
44,4/22/2024,7.99,81
45,2/14/2025,59.99,294
46,12/3/2024,49.99,98
47,12/1/2024,3.29,400
48,11/7/2024,3.29,311
49,6/6/2024,58.99,9
50,2/21/2025,39.99,143
51,2/23/2025,34.99,26
52,4/10/2024,12.99,41
53,5/2/2024,3.19,341
54,7/20/2024,39.99,213
55,4/16/2024,5.49,57
56,4/10/2024,1.79,322
57,10/12/2024,3.99,217
58,6/5/2024,49.99,288
59,1/12/2025,99.99,279
60,5/29/2024,2.49,318
61,8/28/2024,59.99,249
62,4/25/2024,49.99,162
63,5/13/2024,12.99,91
64,3/1/2025,10.99,276
65,3/1/2025,4.99,263
66,4/13/2024,1.99,33
67,5/22/2024,1.99,284
68,12/14/2024,4.29,264
69,8/22/2024,3.79,138
70,3/22/2025,14.99,110
71,6/20/2024,9.99,394
72,6/7/2024,3.49,277
73,1/8/2025,5.49,11
74,4/30/2024,1.29,27
75,5/28/2024,35.99,248
76,11/9/2024,5.49,336
77,9/13/2024,14.99,123
78,4/7/2024,10.99,134
79,4/9/2024,3.29,90
